id,language,language_name,article_title,subdomain,question,reference_answer,source_url,model_answer,hallucinated,hallucination_score
en_inflation_002,en,English,Inflation,Macroeconomics,"According to Wikipedia, what is notable about Inflation?","The opposite of inflation is deflation, a decrease in the general price level of goods and services.",https://en.wikipedia.org/wiki/Inflation,,,
en_inflation_003,en,English,Inflation,Macroeconomics,What is Inflation?,"The common measure of inflation is the inflation rate, the annualized percentage change in a general price index.",https://en.wikipedia.org/wiki/Inflation,,,
en_inflation_004,en,English,Inflation,Macroeconomics,What is the role of Inflation?,"Changes in inflation are widely attributed to increases in the money supply, fluctuations in real demand for goods and services (also known as demand shocks, including changes in fiscal or monetary policy), changes in available supplies such as during energy crises , significant decreases in interest rates set by the central bank, or changes in inflation expectations, which may be self-fulfilling.",https://en.wikipedia.org/wiki/Inflation,,,
en_inflation_005,en,English,Inflation,Macroeconomics,"According to Wikipedia, what is notable about Inflation?",Moderate inflation affects economies in both positive and negative ways.,https://en.wikipedia.org/wiki/Inflation,,,
en_inflation_006,en,English,Inflation,Macroeconomics,What is Inflation?,"The negative effects would include an increase in the opportunity cost of holding money; uncertainty over future inflation, which may discourage investment and savings; and, if inflation were rapid enough, shortages of goods as consumers begin hoarding out of concern that prices will increase in the future.",https://en.wikipedia.org/wiki/Inflation,,,
en_inflation_007,en,English,Inflation,Macroeconomics,What is the role of Inflation?,"Positive effects include reducing unemployment due to nominal wage rigidity,allowing the central bank greater freedom in carrying out monetary policy, encouraging loans and investment instead of money hoarding, and avoiding the inefficiencies associated with deflation.",https://en.wikipedia.org/wiki/Inflation,,,
en_interest_rate_000,en,English,Interest rate,Macroeconomics,What is Interest rate?,"An interest rate is the amount of interest due per period, as a proportion of the amount lent, deposited, or borrowed.",https://en.wikipedia.org/wiki/Interest_rate,,,
en_interest_rate_001,en,English,Interest rate,Macroeconomics,What is the role of Interest rate?,Interest rate periods are ordinarily a year and are often annualized when not.,https://en.wikipedia.org/wiki/Interest_rate,,,
en_interest_rate_002,en,English,Interest rate,Macroeconomics,"According to Wikipedia, what is notable about Interest rate?","Alongside interest rates, three other variables determine total interest: principal sum, compounding frequency, and length of time.",https://en.wikipedia.org/wiki/Interest_rate,,,
en_interest_rate_003,en,English,Interest rate,Macroeconomics,What is Interest rate?,Interest rates reflect a borrower's willingness to pay for money now over money in the future.,https://en.wikipedia.org/wiki/Interest_rate,,,
en_interest_rate_004,en,English,Interest rate,Macroeconomics,What is the role of Interest rate?,"In debt financing, companies borrow capital from a bank, in the expectation that the borrowed capital may be used to generate a return on investment greater than the interest rates.",https://en.wikipedia.org/wiki/Interest_rate,,,
en_interest_rate_005,en,English,Interest rate,Macroeconomics,"According to Wikipedia, what is notable about Interest rate?","Failure of a borrower to continue paying interest is an example of default, which may be followed by bankruptcy proceedings.",https://en.wikipedia.org/wiki/Interest_rate,,,
en_interest_rate_006,en,English,Interest rate,Macroeconomics,What is Interest rate?,"In monetary policy and macroeconomics, the term ""interest rate"" is often used as shorthand for a central bank's policy rate, such as the United States Federal Reserve's federal funds rate.",https://en.wikipedia.org/wiki/Interest_rate,,,
en_interest_rate_007,en,English,Interest rate,Macroeconomics,What is the role of Interest rate?,"""Interest rate"" is also sometimes used synonymously with overnight rate, bank rate, base rate, discount rate, coupon rate, repo rate, prime rate, yield to maturity, and internal rate of return.",https://en.wikipedia.org/wiki/Interest_rate,,,
en_monetary_policy_000,en,English,Monetary policy,Macroeconomics,What is Monetary policy?,Monetary policy is the policy adopted by the monetary authority of a nation to affect monetary and other financial conditions to accomplish broader objectives like high employment and price stability (normally interpreted as a low and stable rate of inflation).,https://en.wikipedia.org/wiki/Monetary_policy,,,
en_monetary_policy_001,en,English,Monetary policy,Macroeconomics,What is the role of Monetary policy?,Further purposes of a monetary policy may be to contribute to economic stability or to maintain predictable exchange rates with other currencies.,https://en.wikipedia.org/wiki/Monetary_policy,,,
en_monetary_policy_002,en,English,Monetary policy,Macroeconomics,"According to Wikipedia, what is notable about Monetary policy?","Today most central banks in developed countries conduct their monetary policy within an inflation targeting framework, whereas the monetary policies of most developing countries' central banks target some kind of a fixed exchange rate system.",https://en.wikipedia.org/wiki/Monetary_policy,,,
en_monetary_policy_003,en,English,Monetary policy,Macroeconomics,What is Monetary policy?,"A third monetary policy strategy, targeting the money supply, was widely followed during the 1980s, but has diminished in popularity since then, though it is still the official strategy in a number of emerging economies.",https://en.wikipedia.org/wiki/Monetary_policy,,,
en_monetary_policy_004,en,English,Monetary policy,Macroeconomics,What is the role of Monetary policy?,"The tools of monetary policy vary from central bank to central bank, depending on the country's stage of development, institutional structure, tradition and political system.",https://en.wikipedia.org/wiki/Monetary_policy,,,
en_monetary_policy_005,en,English,Monetary policy,Macroeconomics,"According to Wikipedia, what is notable about Monetary policy?","Interest-rate targeting is generally the primary tool, being obtained either directly via administratively changing the central bank's own interest rates or indirectly via open market operations.",https://en.wikipedia.org/wiki/Monetary_policy,,,
en_monetary_policy_006,en,English,Monetary policy,Macroeconomics,What is Monetary policy?,"Interest rates affect general economic activity and consequently employment and inflation via a number of different channels, known collectively as the monetary transmission mechanism, and are also an important determinant of the exchange rate.",https://en.wikipedia.org/wiki/Monetary_policy,,,
en_monetary_policy_007,en,English,Monetary policy,Macroeconomics,What is the role of Monetary policy?,Other policy tools include communication strategies like forward guidance and in some countries the setting of reserve requirements.,https://en.wikipedia.org/wiki/Monetary_policy,,,
en_central_bank_000,en,English,Central bank,Macroeconomics,What is Central bank?,"A central bank, reserve bank, national bank, state bank, or monetary authority is a financial institution that manages the monetary policy of a country or monetary union.",https://en.wikipedia.org/wiki/Central_bank,,,
en_central_bank_001,en,English,Central bank,Banking & Credit,What is the role of Central bank?,"In contrast to a commercial bank, a central bank possesses a monopoly on increasing the monetary base.",https://en.wikipedia.org/wiki/Central_bank,,,
en_central_bank_002,en,English,Central bank,Banking & Credit,"According to Wikipedia, what is notable about Central bank?","Many central banks also have supervisory or regulatory powers to ensure the stability of commercial banks in their jurisdiction, to prevent bank runs, and, in some cases, to enforce policies on financial consumer protection, and against bank fraud, money laundering, or terrorism financing.",https://en.wikipedia.org/wiki/Central_bank,,,
en_central_bank_003,en,English,Central bank,Macroeconomics,What is Central bank?,"Central banks play a crucial role in macroeconomic forecasting, which is essential for guiding monetary policy decisions, especially during times of economic turbulence.",https://en.wikipedia.org/wiki/Central_bank,,,
en_central_bank_004,en,English,Central bank,Banking & Credit,What is the role of Central bank?,"Central banks in most developed nations are usually set up to be institutionally independent from political interference, even though governments typically have governance rights over them, legislative bodies exercise scrutiny, and central banks frequently do show responsiveness to politics.",https://en.wikipedia.org/wiki/Central_bank,,,
en_central_bank_005,en,English,Central bank,Banking & Credit,"According to Wikipedia, what is notable about Central bank?","Issues like central bank independence, central bank policies, and rhetoric in central bank governors' discourse or the premises of macroeconomic policies  of the state, are a focus of contention and criticism by some policymakers, researchers, and specialized business, economics, and finance media.",https://en.wikipedia.org/wiki/Central_bank,,,
en_credit_score_000,en,English,Credit score,Banking & Credit,What is Credit score?,"A credit score is a numerical expression based on a level analysis of a person's credit files, to represent the creditworthiness of an individual.",https://en.wikipedia.org/wiki/Credit_score,,,
en_credit_score_001,en,English,Credit score,Banking & Credit,What is the role of Credit score?,"A credit score is primarily based on a credit report, information typically sourced from credit bureaus.",https://en.wikipedia.org/wiki/Credit_score,,,
en_credit_score_002,en,English,Credit score,Banking & Credit,"According to Wikipedia, what is notable about Credit score?","Lenders, such as banks and credit card companies, use credit scores to evaluate the potential risk posed by lending money to consumers and to mitigate losses due to bad debt.",https://en.wikipedia.org/wiki/Credit_score,,,
en_credit_score_003,en,English,Credit score,Macroeconomics,What is Credit score?,"Lenders use credit scores to determine who qualifies for a loan, at what interest rate, and what credit limits.",https://en.wikipedia.org/wiki/Credit_score,,,
en_credit_score_004,en,English,Credit score,Banking & Credit,What is the role of Credit score?,Lenders also use credit scores to determine which customers are likely to bring in the most revenue.,https://en.wikipedia.org/wiki/Credit_score,,,
en_credit_score_005,en,English,Credit score,Banking & Credit,"According to Wikipedia, what is notable about Credit score?",Credit scoring is not limited to banks.,https://en.wikipedia.org/wiki/Credit_score,,,
en_credit_score_006,en,English,Credit score,Banking & Credit,What is Credit score?,Digital finance companies such as online lenders also use alternative data sources to calculate the creditworthiness of borrowers.,https://en.wikipedia.org/wiki/Credit_score,,,
en_basel_iii_000,en,English,Basel III,Banking & Credit,What is Basel III?,"Basel III is the third of three Basel Accords, a framework that sets international standards and minimums for bank capital requirements, stress tests, liquidity regulations, and leverage, with the goal of mitigating the risk of bank runs and bank failures.",https://en.wikipedia.org/wiki/Basel_III,,,
en_basel_iii_001,en,English,Basel III,Banking & Credit,What is the role of Basel III?,"It was developed in response to the deficiencies in financial regulation revealed by the 2008 financial crisis and builds upon the standards of Basel II, introduced in 2004, and Basel I, introduced in 1988.",https://en.wikipedia.org/wiki/Basel_III,,,
en_basel_iii_002,en,English,Basel III,Banking & Credit,"According to Wikipedia, what is notable about Basel III?","The Basel III requirements were published by the Basel Committee on Banking Supervision in 2010, and began to be implemented in major countries in 2012.",https://en.wikipedia.org/wiki/Basel_III,,,
en_basel_iii_003,en,English,Basel III,Banking & Credit,What is Basel III?,"Implementation of the Fundamental Review of the Trading Book , published and revised between 2013 and 2019, has been completed only in some countries and is scheduled to be completed in others in 2025 and 2026.",https://en.wikipedia.org/wiki/Basel_III,,,
en_basel_iii_004,en,English,Basel III,Banking & Credit,What is the role of Basel III?,"Implementation of the Basel III: Finalising post-crisis reforms , introduced in 2017, was extended several times, and will be phased-in by 2028.",https://en.wikipedia.org/wiki/Basel_III,,,
en_stock_market_index_000,en,English,Stock market index,Financial Markets,What is Stock market index?,"In finance, a stock market index or stock index is an index that measures the performance of a stock market, or of a subset of a stock market.",https://en.wikipedia.org/wiki/Stock_market_index,,,
en_stock_market_index_001,en,English,Stock market index,Financial Markets,What is the role of Stock market index?,It helps investors compare current stock price levels with past prices to calculate market performance.,https://en.wikipedia.org/wiki/Stock_market_index,,,
en_stock_market_index_002,en,English,Stock market index,Financial Markets,"According to Wikipedia, what is notable about Stock market index?","Investors may be able to invest in a stock market index by buying an index fund, which is structured as either a mutual fund or an exchange-traded fund, and ""tracks"" an index.",https://en.wikipedia.org/wiki/Stock_market_index,,,
en_foreign_exchange_market_000,en,English,Foreign exchange market,Financial Markets,What is Foreign exchange market?,The foreign exchange market  is a global decentralized or over-the-counter  market for the trading of currencies.,https://en.wikipedia.org/wiki/Foreign_exchange_market,,,
en_foreign_exchange_market_001,en,English,Foreign exchange market,Financial Markets,What is the role of Foreign exchange market?,This market determines foreign exchange rates for every currency.,https://en.wikipedia.org/wiki/Foreign_exchange_market,,,
en_foreign_exchange_market_002,en,English,Foreign exchange market,Banking & Credit,"According to Wikipedia, what is notable about Foreign exchange market?","By trading volume, it is by far the largest market in the world, followed by the credit market.",https://en.wikipedia.org/wiki/Foreign_exchange_market,,,
en_foreign_exchange_market_003,en,English,Foreign exchange market,Banking & Credit,What is Foreign exchange market?,The main participants are the larger international banks.,https://en.wikipedia.org/wiki/Foreign_exchange_market,,,
en_foreign_exchange_market_004,en,English,Foreign exchange market,Financial Markets,What is the role of Foreign exchange market?,"Financial centres function as anchors of trading between a range of multiple types of buyers and sellers around the clock, with the exception of weekends.",https://en.wikipedia.org/wiki/Foreign_exchange_market,,,
en_foreign_exchange_market_005,en,English,Foreign exchange market,Financial Markets,"According to Wikipedia, what is notable about Foreign exchange market?","As currencies are always traded in pairs, the market does not set a currency's absolute value, but rather determines its relative value by setting the market price of one currency if paid for with another.",https://en.wikipedia.org/wiki/Foreign_exchange_market,,,
en_foreign_exchange_market_006,en,English,Foreign exchange market,Financial Markets,What is Foreign exchange market?,Example: 1 USD is worth 1.1 Euros or 1.2 Swiss Francs etc.,https://en.wikipedia.org/wiki/Foreign_exchange_market,,,
en_foreign_exchange_market_007,en,English,Foreign exchange market,Financial Markets,What is the role of Foreign exchange market?,The market works through financial institutions and operates on several levels.,https://en.wikipedia.org/wiki/Foreign_exchange_market,,,
en_consumer_price_index_000,en,English,Consumer price index,Economic Indicators,What is Consumer price index?,It is calculated as the weighted average price of a market basket of consumer goods and services.,https://en.wikipedia.org/wiki/Consumer_price_index,,,
en_consumer_price_index_001,en,English,Consumer price index,Macroeconomics,What is the role of Consumer price index?,Changes in the CPI can be used to track inflation over time and to compare inflation rates between different countries.,https://en.wikipedia.org/wiki/Consumer_price_index,,,
en_consumer_price_index_002,en,English,Consumer price index,Macroeconomics,"According to Wikipedia, what is notable about Consumer price index?","While the CPI is not a perfect measure of inflation or the cost of living, it is a useful tool for tracking these economic indicators.",https://en.wikipedia.org/wiki/Consumer_price_index,,,
en_unemployment_000,en,English,Unemployment,Economic Indicators,What is Unemployment?,"Unemployment is measured by the unemployment rate, which is the number of people who are unemployed as a percentage of the labour force (the total number of people employed above a specified age added to those unemployed) during the reference period.",https://en.wikipedia.org/wiki/Unemployment,,,
en_balance_of_trade_000,en,English,Balance of trade,General Finance,What is Balance of trade?,"As of 2016, about 60 out of 200 countries have a trade surplus.",https://en.wikipedia.org/wiki/Balance_of_trade,,,
en_balance_of_trade_001,en,English,Balance of trade,General Finance,What is the role of Balance of trade?,"Economists reject the idea that a trade deficit is detrimental to a nation's economy, and the idea that a bilateral trade deficit is inherently bad.",https://en.wikipedia.org/wiki/Balance_of_trade,,,
en_anti_money_laundering_000,en,English,Anti–money laundering,Financial Regulation,What is Anti–money laundering?,"Anti–money laundering  refers to a set of laws, regulations and institutional practices designed to help financial institutions and other regulated entities prevent, detect, and report money laundering and related financial crime.",https://en.wikipedia.org/wiki/Anti–money_laundering,,,
en_anti_money_laundering_001,en,English,Anti–money laundering,Banking & Credit,What is the role of Anti–money laundering?,"(Anti–money laundering is sometimes paired with combating the financing of terrorism, using the initialism AML/CFT.) In addition to regulatory and supervisory arrangements intended to ensure that banks and other relevant firms implement AML controls and file suspicious transaction reports, the AML policy framework typically also involves financial intelligence units and relevant law enforcement agencies.",https://en.wikipedia.org/wiki/Anti–money_laundering,,,
en_income_tax_000,en,English,Income tax,Personal Finance,What is Income tax?,Income tax generally is computed as the product of a tax rate times the taxable income.,https://en.wikipedia.org/wiki/Income_tax,,,
en_income_tax_001,en,English,Income tax,Personal Finance,What is the role of Income tax?,Taxation rates may vary by type or characteristics of the taxpayer and the type of income.,https://en.wikipedia.org/wiki/Income_tax,,,
en_income_tax_002,en,English,Income tax,Personal Finance,"According to Wikipedia, what is notable about Income tax?",The tax rate may increase as taxable income increases .,https://en.wikipedia.org/wiki/Income_tax,,,
en_income_tax_003,en,English,Income tax,Personal Finance,What is Income tax?,The tax imposed on companies is usually known as corporate tax and is commonly levied at a flat rate.,https://en.wikipedia.org/wiki/Income_tax,,,
en_income_tax_004,en,English,Income tax,Personal Finance,What is the role of Income tax?,"Individual income is often taxed at progressive rates where the tax rate applied to each additional unit of income increases (e.g., the first $10,000 of income taxed at 0%, the next $10,000 taxed at 1%, etc.).",https://en.wikipedia.org/wiki/Income_tax,,,
en_income_tax_005,en,English,Income tax,Personal Finance,"According to Wikipedia, what is notable about Income tax?",Income from investments may be taxed at different  rates than other types of income.,https://en.wikipedia.org/wiki/Income_tax,,,
en_income_tax_006,en,English,Income tax,Banking & Credit,What is Income tax?,Credits of various sorts may be allowed that reduce tax.,https://en.wikipedia.org/wiki/Income_tax,,,
en_income_tax_007,en,English,Income tax,Banking & Credit,What is the role of Income tax?,Most jurisdictions either do not tax income earned outside the jurisdiction or allow a credit for taxes paid to other jurisdictions on such income.,https://en.wikipedia.org/wiki/Income_tax,,,
en_insurance_000,en,English,Insurance,Personal Finance,What is Insurance?,"Insurance is a means of protection from financial loss in which, in exchange for a fee, a party agrees to compensate another party in the event of a certain loss, damage, or injury.",https://en.wikipedia.org/wiki/Insurance,,,
en_insurance_001,en,English,Insurance,Personal Finance,What is the role of Insurance?,"The loss may or may not be financial, but it must always be reducible to financial terms.",https://en.wikipedia.org/wiki/Insurance,,,
en_bond__finance__000,en,English,Bond (finance),Banking & Credit,What is Bond (finance)?,"In finance, a bond is a type of security under which the issuer  owes the holder  a debt, and is obliged – depending on the terms – to provide cash flow to the creditor; which usually consists of repaying the principal  of the bond at the maturity date, as well as interest  over a specified amount of time.",https://en.wikipedia.org/wiki/Bond_(finance),,,
en_bond__finance__001,en,English,Bond (finance),Banking & Credit,What is the role of Bond (finance)?,"Bonds and stocks are both securities, but the major difference between the two is that  stockholders have an equity stake in a company , whereas bondholders have a creditor stake in a company .",https://en.wikipedia.org/wiki/Bond_(finance),,,
en_bond__finance__002,en,English,Bond (finance),Banking & Credit,"According to Wikipedia, what is notable about Bond (finance)?","As creditors, bondholders have priority over stockholders.",https://en.wikipedia.org/wiki/Bond_(finance),,,
en_bond__finance__003,en,English,Bond (finance),Banking & Credit,What is Bond (finance)?,"This means they will be repaid in advance of stockholders, but will rank behind secured creditors, in the event of bankruptcy.",https://en.wikipedia.org/wiki/Bond_(finance),,,
en_bond__finance__004,en,English,Bond (finance),Financial Markets,What is the role of Bond (finance)?,Certificates of deposit  or short-term commercial paper are classified as money market instruments and not bonds: the main difference is the length of the term of the instrument.,https://en.wikipedia.org/wiki/Bond_(finance),,,
en_bond__finance__005,en,English,Bond (finance),Financial Markets,"According to Wikipedia, what is notable about Bond (finance)?","The most common forms include municipal, corporate, and government bonds.",https://en.wikipedia.org/wiki/Bond_(finance),,,
en_bond__finance__006,en,English,Bond (finance),Financial Markets,What is Bond (finance)?,"Very often the bond is negotiable, that is, the ownership of the instrument can be transferred in the secondary market.",https://en.wikipedia.org/wiki/Bond_(finance),,,
en_bond__finance__007,en,English,Bond (finance),Banking & Credit,What is the role of Bond (finance)?,"This means that once the transfer agents at the bank medallion-stamp the bond, it is highly liquid on the secondary market.",https://en.wikipedia.org/wiki/Bond_(finance),,,
en_microfinance_000,en,English,Microfinance,Banking & Credit,What is Microfinance?,Microfinance consists of financial services designated for individuals and small businesses  who lack access to conventional banking and related services.,https://en.wikipedia.org/wiki/Microfinance,,,
en_microfinance_001,en,English,Microfinance,Banking & Credit,What is the role of Microfinance?,"Microfinance includes microcredit, the provision of small loans to poor clients; savings and checking accounts; microinsurance; and payment systems, among other services.",https://en.wikipedia.org/wiki/Microfinance,,,
en_microfinance_002,en,English,Microfinance,Banking & Credit,"According to Wikipedia, what is notable about Microfinance?","Microfinance product and services in MFI include:

Savings
Microcredit
Microinsurance
Microleasing and
Fund transfer/remittance.",https://en.wikipedia.org/wiki/Microfinance,,,
en_microfinance_003,en,English,Microfinance,Banking & Credit,What is Microfinance?,Microfinance initially had a limited definition: the provision of microloans to small scale entrepreneurs and small  businesses lacking access to credit.,https://en.wikipedia.org/wiki/Microfinance,,,
en_microfinance_004,en,English,Microfinance,Banking & Credit,What is the role of Microfinance?,"The two main mechanisms for the delivery of financial services to such clients were:

relationship-based banking for individual entrepreneurs and small businesses; and
group-based model, where several entrepreneurs come together to apply for loans and other services as a group.",https://en.wikipedia.org/wiki/Microfinance,,,
en_microfinance_005,en,English,Microfinance,Banking & Credit,"According to Wikipedia, what is notable about Microfinance?","Over time, microfinance has emerged as a larger movement whose object is: ""a world in which as everyone, especially the lower income classes and socially marginalized people and households have access to a wide range of affordable, high quality financial products and services, including not just credit but also savings, insurance, payment services, and fund transfers.""
Proponents of microfinance often claim that such access will help struggling classes out of poverty, including participants in the Microcredit Summit Campaign.",https://en.wikipedia.org/wiki/Microfinance,,,
en_microfinance_006,en,English,Microfinance,Banking & Credit,What is Microfinance?,"For many, microfinance is a way to promote economic development, employment and growth through the support of micro-entrepreneurs and small businesses; for others it is a way for the disadvantaged/less privileged to manage their finances more effectively and take advantage of economic opportunities while managing the risks.",https://en.wikipedia.org/wiki/Microfinance,,,
en_microfinance_007,en,English,Microfinance,Banking & Credit,What is the role of Microfinance?,Critics often point to some of the ills of microcredit that can create indebtedness.,https://en.wikipedia.org/wiki/Microfinance,,,
en_financial_inclusion_000,en,English,Financial inclusion,General Finance,What is Financial inclusion?,Financial inclusion is the availability and equality of opportunities to access financial services.,https://en.wikipedia.org/wiki/Financial_inclusion,,,
en_financial_inclusion_001,en,English,Financial inclusion,Banking & Credit,What is the role of Financial inclusion?,"It refers to processes by which individuals and  businesses can access appropriate, affordable, and timely financial products and services—which include banking, loan,  equity, and insurance products.",https://en.wikipedia.org/wiki/Financial_inclusion,,,
en_financial_inclusion_002,en,English,Financial inclusion,Banking & Credit,"According to Wikipedia, what is notable about Financial inclusion?","It provides paths to enhance inclusiveness in economic growth by enabling the unbanked population to access the means for savings, investment, and insurance towards improving household income and reducing income inequality.",https://en.wikipedia.org/wiki/Financial_inclusion,,,
en_financial_inclusion_003,en,English,Financial inclusion,Banking & Credit,What is Financial inclusion?,"Financial-inclusion efforts typically target those who are unbanked or underbanked, and then direct sustainable financial services to them.",https://en.wikipedia.org/wiki/Financial_inclusion,,,
en_financial_inclusion_004,en,English,Financial inclusion,Banking & Credit,What is the role of Financial inclusion?,Providing financial inclusion entails going beyond merely opening a bank account.,https://en.wikipedia.org/wiki/Financial_inclusion,,,
en_financial_inclusion_005,en,English,Financial inclusion,Banking & Credit,"According to Wikipedia, what is notable about Financial inclusion?",Banked individuals can be excluded from other financial services.,https://en.wikipedia.org/wiki/Financial_inclusion,,,
en_financial_inclusion_006,en,English,Financial inclusion,General Finance,What is Financial inclusion?,"Having more-inclusive financial systems has been linked to stronger and more sustainable economic growth and development, thus achieving financial inclusion has become a priority for many countries across the globe.",https://en.wikipedia.org/wiki/Financial_inclusion,,,
en_financial_inclusion_007,en,English,Financial inclusion,Banking & Credit,What is the role of Financial inclusion?,"In 2021, about 1.4 billion adults lacked a bank account, declining further to 1.3 billion by 2024.",https://en.wikipedia.org/wiki/Financial_inclusion,,,
id_produk_domestik_bruto_000,id,Indonesian,Produk domestik bruto,Macroeconomics,Apa itu Produk domestik bruto?,Produk domestik bruto  atau dalam bahasa Inggris gross domestic product  adalah nilai pasar semua barang dan jasa yang diproduksi oleh suatu negara pada periode tertentu.,https://id.wikipedia.org/wiki/Produk_domestik_bruto,,,
id_inflasi_000,id,Indonesian,Inflasi,Macroeconomics,Apa itu Inflasi?,"Inflasi merupakan suatu proses meningkatnya harga-harga secara umum dan terus-menerus, kenaikan harga dari satu atau dua barang saja tidak dapat disebut inflasi kecuali bila kenaikan itu meluas  pada barang lainnya.",https://id.wikipedia.org/wiki/Inflasi,,,
id_inflasi_001,id,Indonesian,Inflasi,Macroeconomics,Apa peran Inflasi?,"Inflasi berkaitan dengan mekanisme pasar yang dapat disebabkan oleh berbagai faktor, antara lain: konsumsi masyarakat yang meningkat, berlebihnya likuiditas di pasar yang memicu konsumsi atau bahkan spekulasi, sampai termasuk juga akibat adanya ketidaklancaran distribusi barang.",https://id.wikipedia.org/wiki/Inflasi,,,
id_inflasi_002,id,Indonesian,Inflasi,Macroeconomics,"Menurut Wikipedia, apa yang penting tentang Inflasi?","Selain itu, ketidakstabilan ekonomi dan tingkat penjualan juga menimbulkan inflasi.",https://id.wikipedia.org/wiki/Inflasi,,,
id_inflasi_003,id,Indonesian,Inflasi,Macroeconomics,Apa itu Inflasi?,"Dengan kata lain, inflasi juga merupakan proses menurunnya nilai mata uang secara kontinu.",https://id.wikipedia.org/wiki/Inflasi,,,
id_inflasi_004,id,Indonesian,Inflasi,Macroeconomics,Apa peran Inflasi?,"Inflasi adalah proses dari suatu peristiwa, bukan tinggi-rendahnya tingkat harga.",https://id.wikipedia.org/wiki/Inflasi,,,
id_inflasi_005,id,Indonesian,Inflasi,Macroeconomics,"Menurut Wikipedia, apa yang penting tentang Inflasi?","Artinya, tingkat harga yang dianggap tinggi belum tentu menunjukan inflasi.",https://id.wikipedia.org/wiki/Inflasi,,,
id_inflasi_006,id,Indonesian,Inflasi,Macroeconomics,Apa itu Inflasi?,"Inflasi adalah indikator untuk melihat tingkat perubahan, dan dianggap terjadi jika proses kenaikan harga berlangsung secara terus-menerus dan saling pengaruh-memengaruhi.",https://id.wikipedia.org/wiki/Inflasi,,,
id_inflasi_007,id,Indonesian,Inflasi,Macroeconomics,Apa peran Inflasi?,Istilah inflasi juga digunakan untuk mengartikan peningkatan persediaan uang yang kadang kala dilihat sebagai penyebab meningkatnya harga.,https://id.wikipedia.org/wiki/Inflasi,,,
id_suku_bunga_000,id,Indonesian,Suku bunga,Macroeconomics,Apa itu Suku bunga?,"Persentase dari pokok utang yang dibayarkan sebagai imbal jasa  dalam suatu periode tertentu disebut ""suku bunga"".",https://id.wikipedia.org/wiki/Suku_bunga,,,
id_kebijakan_moneter_000,id,Indonesian,Kebijakan moneter,Macroeconomics,Apa itu Kebijakan moneter?,Kebijakan moneter adalah  sebuah kebijakan yang dikeluarkan oleh bank sentral dalam bentuk pengaturan  persediaan uang untuk mencapai tujuan tertentu.,https://id.wikipedia.org/wiki/Kebijakan_moneter,,,
id_kebijakan_moneter_001,id,Indonesian,Kebijakan moneter,Macroeconomics,Apa peran Kebijakan moneter?,"Kebijakan moneter dapat melibatkan mengeset standar bunga pinjaman, margin requirement, kapitalisasi untuk bank atau bahkan bertindak sebagai peminjam usaha terakhir atau melalui persetujuan melalui negosiasi dengan pemerintah lain.",https://id.wikipedia.org/wiki/Kebijakan_moneter,,,
